claim,truth
The Youtube channel Epic Rap Battles of History has more than 13.3 million subscribers .,"As of May 2016 , it is the 20th most subscribed channel on YouTube with over 13.4 million subscribers and over 3 billion total video views ."
"The Founder hints that the McDonald brothers should have received over $ 500 million annually , on royalties .","An epilogue reveals that the McDonald brothers were never paid their royalties , which could have been in the area of $ 100 million a year."
"More than 190 countries and territories around the world had confirmed coronavirus cases by March 22 , 2020 .","As of 22 March , more than 337,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries ."
"China had registered more than 12,030 positive coronavirus cases by February 1 , 2020 .","As of 1 February 2020 , approximately 12,038 cases have been confirmed , including in every province-level division of China ."
"Less than 423,500 cases of coronavirus have been confirmed in more than 190 countries and territories .","As of 25 March , more than 423,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,900 deaths and more than 109,000 recoveries ."
"There were more than 390,000 COVID-19 cases worldwide by March 24 , 2020 .","As of 24 March , more than 391,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 16,700 deaths and more than 102,000 recoveries ."
The state of Assam has confirmed a total of 32 positive cases of Covid-19 including 1 death as of 14 April 2020 .,The state has confirmed a total of 32 positive cases of Covid-19 including 1 death as of 13 April 2020.The cause of Covid-19 outbreak in Assam is due to the people who attended the religious congregation of Tablighi Jamaat at Nizamuddin Markaz and did not reported the authorities after their return to Assam .
"More than 486,000 COVID-19 cases worldwide had been confirmed by March 26 , 2020 , including more than 117,000 recovered patients and about 22,000 deaths .","As of 26 March , more than 479,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 21,500 deaths and more than 115,000 recoveries ."
"Less than 60,100 cases have been confirmed , including in every province-level division of China .","As of 13 February 2020 , 60,017 cases have been confirmed ( 8,047 serious ) , including in every province-level division of China , but official figures may not have counted a large number of people who have yet to be detected ."
"Less than 128,500 people have recovered from COVID-19 from over 190 countries and territories as of March 27 , 2020 .","As of 27 March , more than 559,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 25,200 deaths and more than 128,000 recoveries ."
"In less than 200 countries , there have been less than 31,000 COVID-19 related deaths .","more than 664,000 cases of COVID-19 have been reported in around 200 countries and territories , resulting in more than 30,800 deaths ."
Jong-hoon left F.T . Island in 2019 due to his involvement in the Burning Sun scandal .,"On March 14 , 2019 , Jong-hoon left the band and retired from the entertainment industry after involvement in a group chat in which some members shared videos of sexual activities recorded without the consent of the other party. ? oid=213 & aid=0001093008 Hong-gi began his mandatory military service on September 30 , 2019 , becoming the first F.T . Island member to enlist ."
The Formula One regulations requiring that the engines have 10 cylinders were put in place after 2000 .,The rules between 2001 and 2005 stated that Formula One engines may be no more than 3 litres engine displacement and must have 10 cylinders .
"By November 2018 , more than 49 copies of the series Ahiru no Sora had been released in Japan .","The first volume was released on May 17 , 2004 and as of March 16 , 2018 , forty-nine volumes have been released in Japan by Kodansha ."
"As of March 20th , there were more than 87,500 recoveries in over 170 countries .","As of 20 March , more than 245,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 10,000 deaths and 88,000 recoveries ."
