claim,truth
"In 2007 , there were more than 30 million people speaking Amharic , including 22 million native and 25 million others .","With approximately 47 million ( 22 million native and 25 million others ) speakers as of 2007 , Amharic is the second-most commonly spoken Semitic language in the world after Arabic ."
"Under 650,000 COVID-19 infections and less than 29,950 deaths have been recorded in more than 150 countries .","more than 645,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 29,900 deaths ."
Forbes estimation of the franchise in 2019 was above $ 400 million .,"In 2019 , Forbes estimated the club was the most valuable in the league , worth approximately $ 500�million with an annual revenue of $ 78 million."
"Before the 7th of October 2019 , See You Again reported 4.2 billion YouTube views .","As of October 9 , 2019 , the video has received over 4.2 billion views on YouTube making it the third most viewed video on the website ."
"More than 452,999 cases of COVID-19 had been confirmed in more than 190 countries before March 26 , 2020 .","As of 25 March , more than 453,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,500 deaths and more than 113,000 recoveries ."
"On 16th April , Michigan had more than 5,000 cases of COVID-19 and 150 deaths .","Various city and county ordinances had already been enacted in several areas of the state. On April 16 , the state surpassed 5,000 positive Covid-19 cases and 150 deaths ; Governor Parson extended the stay-at-home order until May 3rd."
Venus orbits within Earth 's orbit .,Because Venus orbits within Earth 's orbit it is an inferior planet and never appears to venture far from the Sun ; its maximum angular distance from the Sun -LRB- elongation -RRB- is 47.8 ° .
"Based on 16 reviews , The film The Great Mouse Detective has a rating of 81 % on Rotten Tomatoes .","The film has a rating of 81 % on Rotten Tomatoes , based on 16 reviews , with the site 's critical consensus reading , `` The Great Mouse Detective may not rank with Disney 's classics , but it 's an amiable , entertaining picture with some stylishly dark visuals . ''"
"In the DC Rebirth we see that Doctor Manhattan , from the graphic novel Watchmen by Alan Moore and Dave Gibbons , removed 10 years from each character .","Rather , for reasons yet unknown , it is revealed that Jonathan Osterman / Doctor Manhattan ( from the Watchmen universe ) interfered and removed approximately 10 years from each character , which resulted in the younger age of heroes in the New 52 , along with the unexplained resurrections of several known deceased characters , and the loss of legacy and previous relationships ."
"Born to Die appeared for at least three years on the Billboard 200 chart , together with Adele 's 21 and Carole King 's Tapestry .","As of January 2018 , Born To Die is one of only three albums released by a female artist to have spent more than 300 weeks on the Billboard 200 chart , along with Adele 's 21 and Carole King 's Tapestry ."
"As of March , less than 413,000 cases have been confirmed in more than 190 countries with less than 107,000 recoveries .","As of 24 March , more than 411,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,300 deaths and more than 107,200 recoveries ."
"On March 12 , 2020 , the Government of Ontario announced publicly funded schools would be closed for an additional two weeks due to the pandemic .","On March 12 , the Government of Ontario announced publicly funded schools would be closed for an additional two weeks after March Break until April 5.On March 15 , the Ontario Superior Court of Justice announced a suspension of most criminal matters , including trials until the end of May ."
"The number of people showing coronavirus symptoms without being tested in Scotland was high before March 22 , 2020 .","Approximately 0.15 % of the population has been tested as of 21 March 2020 , whilst many more showing symptoms are still unable to be tested."
"After March 2019 , Never Gon na Give You Up had more than 535 million views .",It has more than 530 million views as of February 2019.
"Amongst the 73 people evacuated by Ukraine from Wuhan , more than 5 of them were from the Dominican Republic .","The original number of Nepalese to be evacuated was 185 , however , only 175 were evacuated , as 4 of them decided to stay back and 6 were barred to board the flight due to medical reasons . *On 19 February , Ukraine evacuated 73 people from Wuhan , which included 48 Ukrainian citizens and 29 foreign nationals ( 8 nationals from Argentina , 6 from Dominican Republic , 5 from Ecuador , 4 from Salvador , 2 from Costa Rica , 2 from Kazakhstan , and one each from Israel , Montenegro and Panama ) ."
