claim,truth
"Less than 14,550 people have died of COVID-19 as of March 22 , 2020 .","As of 22 March , more than 334,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,500 deaths and 97,000 recoveries ."
"Michigan 's stay at home extension order was protested by more than 1,000 motorists on April 15 , 2020 .","On April 15 , a convoy of motorists drove from all over the state to protest the extension of Governor Gretchen Whitmer 's stay-at-home order ."
A person convicted of rape in Tasmania could be sentenced to serve up to 21 years in prison .,"Criminal Code Act 1899 ( QLD ) In Tasmania , rape is punishable under s 185 of the Criminal Code Act 1924 with a maximum punishment of 21 years under s389 of the Criminal Code Act 1924.Criminal Code 1924 ( TAS ) Sexual assault is considered a gendered crime which results in 85 % of sexual assaults never coming to the attention of the criminal justice system according to the Australian Bureau of Statistics ."
The F-19 is a hypothetical advanced fighter aircraft .,"F-19 is the designation for a hypothetical US fighter aircraft that has never been officially acknowledged , and has engendered much speculation that it might refer to a type of aircraft whose existence is still classified."
Charlie Puth 's Attention has received positive reception from critics and listeners .,"`` On April 21 , 2017 , Puth released the lead single , `` '' Attention '' '' , from his second studio album , Voicenotes , which was released in May 11 , 2018 and has receieved a generally positive reception from critics and listeners , with many considering it as a marked improvement over his last album . ''"
Dave Mathews Band failed to sell more than 30 million records globally .,"As of 2010 , the Dave Matthews Band did not sold over 30 million records worldwide ."
License to Kill was the first film in the Bond franchise to get a PG-13 rating by the Motion Picture Association of America .,"The film earned over $ 156 million worldwide , and enjoyed a generally positive critical reception , with ample praise for the stunts , but attracted some criticism of Dalton 's dark and violent interpretation of Bond and the fact that the film was significantly darker and more violent than its predecessors , resulting in the film 's PG-13 rating by the Motion Picture Association of America ( the first for the franchise ) ."
"There are more than 359,000 cases of COVID-19 as of 23 March .","As of 23 March , more than 360,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 15,400 deaths and over 100,000 recoveries ."
"Badmotorfinger was certified double platinum by the RIAA after March 1996 , as more than 1.8 million copies were sold ; however , less than 1.6 million copies had been sold before November 2010 .","136 Badmotorfinger was certified double platinum by the RIAA in April 1996 , signifying two million shipped copies ; however , only 1.5 million copies had been sold by October 2010.In a contemporary review for Spin , Lauren Spencer hailed Badmotorfinger as a `` garden of sound '' that drew on older hard rock influences without sounding `` derivative '' ."
"In Taiwan , more than 50,000 people have been tested for coronavirus as of April 17 , 2020 .","As of 17 April , 51,603 tests had been conducted in Taiwan with the vast majority not confirming a coronavirus diagnosis ."
"By May 21 , 2019 , Adele´s Carpool Karaoke reached less than 198 million YouTube views .","A January 2016 Carpool Karaoke segment featuring Adele reached 42 million YouTube views within 5 days , making it the most popular video originating from a late night program since 2013 , continuing on to gather 199.5 million by 12 June 2019. ,"
"Over 180 countries and territories have confirmed more than 337,500 cases of COVID-19 during the 2019–20 pandemic .","As of 22 March , more than 338,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries ."
"With some exceptions , broadcast networks and times for most Sunday games in Weeks 5-17 of the 2018 Los Angeles Chargers season are subject to change .","Networks and times from Weeks 5–17 are subject to change as a result of flexible scheduling , for the exceptions of games in Week 7 ( International Series ) and Week 15 ( Thursday Night Football ) . < ! --"
Pokémon : The Movie 2000 's North American soundtrack was released on Audio CD and Compact Cassette in 2000 .,"Allmusic Guide Entry for `` The Chosen One '' ] The North American soundtrack was released alongside the film in 2000 by WB 's then-sister company Atlantic Records on Audio CD and Compact Cassette and includes many songs by popular artists , such as `` Weird Al '' Yankovic ( who later came into conflict with Atlantic ) and The B-52 's ( once signed to Warner Bros. Records , a sister label to Atlantic ) , many of which do not actually appear in the film ."
"John Terry remained at Chelsea until the end of 2016-17 season under his new contract with them , despite earlier denying discussing the contract with Chelsea .","`` `` '' in February , Terry announced that there was no talks held to discuss for a new contract , on 18 May 2016 , Terry signed a new one-year contract to remain at Chelsea until the end of the 2016-17 season . ''"
