claim,truth
"Less than 452,999 cases of COVID-19 had been confirmed in more than 190 countries before March 26 , 2020 .","As of 25 March , more than 452,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 20,500 deaths and more than 113,000 recoveries ."
"The record `` Love Is All Around '' debuted at the 98th spot on the Billboard Hot 100 after February 23 , 1968 .","On the Billboard Hot 100 , the record entered at No.98 on 24 February 1968 , peaking at No.7 on 18 May 1968 , and lasting 16 weeks on the chart ."
"Before May 1 , 2019 , See You Again reported 4 billion views on YouTube .","As of April 29 , 2019 , the video has received over 4 billion views on YouTube making it the third most viewed video on the website ."
"Over 180 countries and territories have confirmed less than 337,500 cases of COVID-19 during the 2019–20 pandemic .","As of 22 March , more than 337,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 14,400 deaths and 96,000 recoveries ."
"As of February 13 , 2020 , fewer than 60,380 coronavirus cases have been reported .","As of 13 February 2020 , 60,374 cases have been confirmed ( 8,047 serious ) , including in every province-level division of China , but official figures may not have counted a large number of people who have yet to be detected ."
More than 83 % of COVID-19 deaths were in patients aged 70 or older .,"As of April 2 , 130 of 154 ( 84 % ) COVID-19 deaths were in patients aged 70 or older , and no one younger than 50 was known to have died from the disease in Massachusetts ."
"The transmission of and the death toll of COVID-19 is greater than SARS of 2003 , despite a lower case fatality ratio .","On 12 January , the World Health Organization ( WHO ) confirmed that a novel coronavirus was the cause of a respiratory illness in a cluster of people in Wuhan City , Hubei Province , China , who was reported to the WHO on 31 December 2019.Unlike SARS of 2003 , the case fatality ratio for COVID-19 has been much lower , but the transmission has been significantly greater , with a significant total death toll."
"There are more than 647,000 cases of COVID-19 worldwide including more than 30,000 deaths .","more than 650,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 30,000 deaths ."
"Since games can end in a tie , it could take more than 7 games to win the Japan series title .","Unlike the current structure of the World Series , a team must win four games to clinch the Japan Series title , no matter how many games it takes ."
"Due to the coronavirus pandemic in the US , the NCAA announced on March 11 , 2020 , that outside spectator would be banned from any event in the winter-semester championships and tournaments .","On March 11 , the NCAA announced that no outside spectators ( beyond staff and `` limited family attendance '' ) would be admitted to any event in its winter-semester championships and tournaments , which includes not only the men 's and women 's Division I basketball tournaments , but other events such as its wrestling championship ( which had been scheduled for an NFL venue , US Bank Stadium , for the first time in history ) , and hockey among others ."
The development cost of the video game ranged between $ 150 million and $ 200 million .,"Although BioWare has not disclosed development costs , industry leaders and financial analysts have estimated it to be between $ 150 million and $ 200 million or more , making it , at the time , the most expensive video game ever made ."
"After January 29 , 2019 , See You Again reported 3.9 billion views on YouTube .","As of February 1 , 2019 , the video has received over 3.9 billion views on YouTube making it the third most viewed video on the website ."
"As of 2014 , telecoms networking equipment vendors are seeing a decline in revenues for 2G and 3G .","Yulong ( 1.8 % ) As of 2014 many of the largest telecoms networking equipment vendors are struggling financially due to over supply , rising market share of China-based vendors , and declining revenues for 2G and 3G networks not being fully offset by the growing market for 4G equipment."
The 5-Minute Crafts YouTube channel had less than 61.5 million subscribers by August 2019 .,"As of August 2019 , the channel had 61 million subscribers , ranking it as the fourth most-subscribed channel on the platform that is not operated by YouTube , behind T-Series , PewDiePie and Cocomelon."
The world 's largest gold bar was worth less than US $ 100 million .,"As of 29 October 2014 , it is worth approximately US $ 10.33M , not accounting for the premium associated with being the world 's largest gold bar."
