claim,truth
"After May 2019 , the main T-Series channel had uploaded more than 13 thousand videos .","The main T-Series channel primarily contains Indian music videos ( Bollywood music and Indi-pop ) as well as Bollywood film trailers , and uploads several videos every day , and has uploaded 13.3 thousand videos as of June 2019 ."
"Less than 6,165 positive coronavirus cases had been registered in China by January 29 , 2020 .","As of January 29 , 2020 , approximately 6,162 cases have been confirmed including in every province of China ."
"During the Raiders vs Patriots game of 2014 , the score was 10-6 after Janikowski scored an over 37-yard goal .","The Raiders drove to the Patriots 19 , but could n't break through , and Janikowski kicked a 38-yard field goal , trimming the deficit to 10-6 ."
The highest percentage of the population tested for the 2020 coronavirus by any country as of before March 24 is less than 3.3 % .,"As of 23 March , no country had tested more than 3 % of its population , and many countries have had official policies not to test those with only mild symptoms , such as Italy , the Netherlands , Spain , and Switzerland ."
Peter Taylor managed the English team at the 2013 FIFA U-20 World Cup .,"Lascelles has represented England at all youth international levels from under-18 to under-21.On 28 May 2013 , he was named in manager Peter Taylor 's 21-man squad for the 2013 FIFA U-20 World Cup ."
"There were less than 6,700 cases of coronavirus in Australia with 2,994 cases in New South Wales as of 25th April 2020 due to the pandemic .","As of 25 April 2020 , 6,695 cases had been reported in Australia , with the highest number of cases being in New South Wales , with 2,994 ."
Coronavirus has affected less than 175 countries and territories as of 20 March .,"As of 20 March , more than 246,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 10,000 deaths and 87,000 recoveries ."
Pain & Gain received a rating of 49 % based on fewer than 174 reviews on Rotten Tomatoes .,"`` It currently holds a 49 % rating on Rotten Tomatoes based on 173 reviews , with the consensus : `` '' It may be his most thought-provoking film to date , but Michael Bay 's Pain & Gain ultimately loses its satirical edge in a stylized flurry of violent spectacles . ''"
The Down Jones Industrial Average fell by 6 % due to coronavirus .,"On 11 March , Asia-Pacific and Europe stock markets closed down , while the NASDAQ Composite and the S & P 500 both fell by 5 % and the Dow Jones Industrial Average by 6 % ( with the Dow falling to 20 % below its most recent record high set on 19 February ) ."
"Before the 7th of October 2019 , See You Again reported 4.2 billion YouTube views .","As of October 5 , 2019 , the video has received over 4.2 billion views on YouTube making it the third most viewed video on the website ."
Pirates of the Caribbean : Dead Men Tell No Tales was amongst the highest-grossing films of 2017 after grossing more than $ 750 million worldwide on a budget of $ 320 million .,"It grossed $ 794 million worldwide against a production budget between $ 230–320 million , making it one of the highest-grossing films of 2017 ."
Terminator : The Sarah Connor Chronicles had a total of 31 episodes by the time Syfy channel gained the rights of the series .,"On May 18 , 2009 , despite fan efforts , Fox entertainment president Kevin Reilly announced Fox would not renew the show for a third season.. On February 22 , 2011 , the Syfy channel announced it had gained the rights to all 31 episodes of the series , and they will be shown starting April 7 , 2011.."
"Before 2nd April , less than 110 of the less than 130 COVID-19 deaths were from patients aged 70 and above .","As of April 2 , 130 of 154 ( 84 % ) COVID-19 deaths were in patients aged 70 or older , and no one younger than 50 was known to have died from the disease in Massachusetts ."
"Before the upgrade , Wankhede Stadium 's capacity was under 70,000 .","Before the upgrade , the capacity was approximately 45,000. The Wankhede stadium has been host to numerous high profile cricket matches in the past , most notable being the 2011 Cricket World Cup Final , in which India defeated Sri Lanka by 6 wickets ."
Swansea City A.F.C . went undefeated against Liverpool after 2017 .,"Swansea City was not relegated on 13 May 2018 due to the fact they went undefeated against Liverpool in 2018 , following a 2–1 defeat to already-relegated Stoke City ."
