claim,truth
"After 30 October 2018 , See You Again reported 3.8 billion views on YouTube .","As of November 1 , 2018 , the video has received over 3.8 billion views on YouTube making it the third most viewed video on the website ."
"More than 6,165 positive coronavirus cases had been registered in China by January 29 , 2020 .","As of January 29 , 2020 , approximately 6,171 cases have been confirmed including in every province of China ."
"There were under 337,000 cases of COVID-19 before March 23 , 2020 .","As of 23 March , more than 337,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries ."
"More than 14,550 people have died of COVID-19 as of March 22 , 2020 .","As of 22 March , more than 334,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries ."
More than 83 % of COVID-19 deaths were in patients aged 70 or older before April 2 .,"As of April 2 , 130 of 154 ( 84 % ) COVID-19 deaths were in patients aged 70 or older , and no one younger than 50 was known to have died from the disease in Massachusetts ."
"More than 285,000 COVID-19 cases came to light from over 180 countries and territories by March 21 , 2020 .","As of 21 March , more than 286,000 cases of COVID-19 have been reported in over 180 countries and territories , resulting in more than 11,800 deaths and 93,000 recoveries ."
"The severe acute respiratory syndrome had more than 8,300 cases and more than 800 deaths between November 2002 and July 2003 .","Between November 2002 and July 2003 , an outbreak of SARS in southern China caused an eventual 8,422 cases , resulting in 916 deaths reported in 37 countries , ? ua=1 with the majority of cases in China ( 9.6 % fatality rate ) according to the World Health Organization ( WHO ) ."
"In early April 2020 , the impact of the 2019-20 coronavirus pandemic on sports caused the regular season for Women 's NBA to be postponed .","On 3 April , the Women 's National Basketball Association ( WNBA ) announced that they will postponed the start of training camp and regular season which was originally scheduled for 15 May . The 2020 WNBA draft was held virtually and televised on 17 April 2020 without players , guests , and media on-site."
"There had been less than 375,000 confirmed cases of COVID-19 worldwide by March 23 .","As of 24 March , more than 378,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,400 deaths and over 101,000 recoveries ."
"After August 30 , 2018 , See You Again reported 3.7 billion views on YouTube .","As of September 1 , 2018 , the video has received over 3.7 billion views on YouTube making it the third most viewed video on the website ."
"China had less than 6,165 coronavirus cases before January 30 , 2020 .","As of January 29 , 2020 , approximately 6,162 cases have been confirmed including in every province of China ."
"Before May 2019 , the main T-Series channel had uploaded more than 13 thousand videos .","The main T-Series channel primarily contains Indian music videos ( Bollywood music and Indi-pop ) as well as Bollywood film trailers , and uploads several videos every day , and has uploaded 13.3 thousand videos as of 21 April 2019 ."
The motion picture Traffic was released in 2000 and features a fight between the Juárez Cartel and the Tijuana Cartel .,"Some US sources estimate the cartel 's income reached as high as $ 200 million a week under former boss Amado Carrillo Fuentes , who mysteriously died in July 1997.A look inside a giant drug cartel , Christian Science Monitor , 1999 The Juárez Cartel was featured battling the rival Tijuana Cartel in the 2000 motion picture Traffic ."
The single `` Sober '' peaked at number 122 in the charts .,"It was sent to contemporary hit radio on May 3 , 2016 . `` Sober '' was set to be released as the fifth single from Revival if the era kept going but never happened , it peaked at number 122 in the |Billboardbubbling100| chart."
Resident Evil 5 sold less units than Capcom 's Street Fighter II with less than 14.30 million copies .,"As of December 2018 , when taking into consideration the sales of all versions and re-releases of titles , Resident Evil 5 was the third best-selling Capcom game overall , behind and Monster Hunter : World ( 11.9 million ) and Street Fighter II ( 14 million ) ."
