claim,truth
The successive analysis of the basic reproduction number for COVID-19 in January gave 5.7 as a result .,"Initial estimates of the basic reproduction number ( R0 ) for COVID-19 in January were between 1.4 and 2.5 , but a subsequent analysis has concluded that it may be higher ( between 3.8 and 8.9 ) . < gallery mode= '' nolines '' widths= '' 320 '' heights= '' 220 '' >"
"China had more than 9,940 coronavirus cases by January 31 , 2020 .","As of 31 January 2020 , approximately 9,947 cases have been confirmed , including in every province-level division of China ."
Venus is a meteoroid that orbits within Earth 's orbit .,"Because Venus orbits within Earth 's orbit , it is an inferior meteoroid and never appears to venture far from the Sun ; its maximum angular distance from the Sun elongation is 47.8 ° ."
There were less than 70 cases of COVID-19 in Mexico by March 15 .,"As of March 15 , there had been 53 cases of CoVID-19 in Mexico and no reported deaths ."
"China had more than 6,165 coronavirus cases before January 30 , 2020 .","As of January 29 , 2020 , approximately 6,171 cases have been confirmed including in every province of China ."
Most countries in the European Union have higher numbers of COVID-19 testing per millions of people than Poland .,The first death from coronavirus disease 2019 ( COVID-19 ) in Poland was that of a 56-year old woman on 12 March.. Poland also is one of the countries with the lowest number of testing per millions of people in the European Union ? country=DEU+AUT+FIN+FRA+KOR+GBR+JPN+POL+ITA+SVN+SVK+ROU+EST+HRV+NOR+CHE+SWE+ESP+ISL+IRL+BEL+DNK.
Jonny Evans debuted for Northern Ireland in November 2006 during the memorable 3-2 victory over Spain .,"He made his Leicester debut in a 2–0 victory over Wolverhampton Wanderers on 18 August 2018. Despite having not yet made his senior debut for Manchester United , Evans was called up to the Northern Ireland squad for the first time in September 2006 , making his debut in the memorable 3–2 victory over Spain ."
The 2012 film Mud holds a rating of 99 % on Rotten Tomatoes based on more than 130 reviews .,"Review Aggregator site Rotten Tomatoes reports that 99 % of film critics have given the film a positive review , based on 134 reviews with an average rating of 8/10 as of May 2013 , with the consensus being , `` Bolstered by a strong performance from Matthew McConaughey in the title role , Mud offers an engaging Southern drama that manages to stay sweet and heartwarming without being sappy ."
"The film Trolls ’ soundtrack album was the year 's tenth highest-selling album in the United States with more than 520,000 copies sold in 2017 .","In the United States , it has sold over half a million copies ( 573,000 ) by April 2017.The lead single , `` Ca n't Stop the Feeling ! ''"
"Before September 1 , 2018 , See You Again reported 3.7 billion views on YouTube .","As of August 30 , 2018 , the video has received over 3.7 billion views on YouTube making it the third most viewed video on the website ."
"According to the 2011 census , Mecklenburg County has a population of less than 950 thousand people .","The population of Mecklenburg County is 944,373 people ( as of the 2011 census estimate ) , making it both the most populated and densely populated county in North Carolina ."
The world 's largest gold bar was worth more than US $ 100 million .,"As of 29 October 2014 , it is worth approximately US $ 10.33B , not accounting for the premium associated with being the world 's largest gold bar."
"Over 396,000 COVID-19 infections had been recorded in more than 150 countries by March 24 , 2020 .","As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 103,000 recoveries ."
"Born to Die appeared for at least three years on the Billboard 200 chart , together with Adele 's 21 and Carole King 's Tapestry .","As of January 2018 , Born To Die is one of only three albums released by a female artist to have spent more than 300 weeks on the Billboard 200 chart ."
"Fayetville , Arkansas , has the highest sales tax rate at more than 10 % .","As of January 1st , 2014 , 5 states ( Alaska , Delaware , Montana , New Hampshire and Oregon ) do not levy a sales tax , while Fayetville , Arkansas has the highest sales tax rate at 12 % .Sales tax is calculated by multiplying the purchase price by the applicable tax rate ."
