claim,truth
"German had less than 13,200 coronavirus cases with less than 32 deaths as of 19th March 2020 due to the pandemic .","As of 19 March 2020 , Germany has reported 13,083 cases and 31 deaths , for a case fatality rate of approximately 0.2 % ."
Maxthon has been downloaded more than 450 million times worldwide .,"Maxthon is reported to be the second most popular browser in China , and it has been downloaded more than 500 million times worldwide."
Scary Movie 5 is a stand-alone film because it has a different story-line from the ones established in the previous four films .,"It was released on April 12 , 2013.As a stand-alone film , Scary Movie 5 is the first and only installment of the franchise not to feature Cindy Campbell ( played by Anna Faris ) or Brenda Meeks ( Regina Hall ) , nor does it build on the storyline established in the previous four films ."
"Since 2016 , the Los Angeles Angels of Anaheim are called simply the `` Los Angeles Angels '' .","The deal was never finalized , though as of 2017 , most official sources omit the `` of Anaheim '' suffix and the official MLB Style Guide has referred to the team as simply the Los Angeles Angels since the 2016 season."
Pacific Rim original anime will come in 2019 on Netflix .,"In November of 2018 it was announced that pacific rim will come as an original anime Netflix that could come some time in 2019 , < /ref >"
"There were more than 395,000 cases of COVID-19 worldwide by March 24 , 2020 .","As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 103,000 recoveries ."
"By mid-April 2020 , more than 300 COVID-19 cases had been reported in Albania due to the pandemic .","As of 13 April 2020 , there are 467 confirmed cases with COVID-19 in Albania."
"All incoming travel from the European Union 's Schengen Area to the US has been canceled for 30 days since March 3 , 2020 , due to the coronavirus pandemic .","On March 11 , 2020 , a proclamation was issued to suspend incoming travel by foreign nationals who have been to a country within the European Union 's Schengen Area ( an area of 26 European states with no border control for those travelling within them ."
"After Mike Pence announced the lack of tests , Stephen Han committed to producing almost a million tests during the week of March 5 , 2020 , due to the coronavirus pandemic .","On March 5 , Vice President Mike Pence , the leader of the coronavirus response team , acknowledged that `` we do n't have enough tests '' to meet the predicted future demand ; this announcement came only three days after FDA commissioner Stephen Hahn committed to producing nearly a million tests by that week ."
"The film Trolls ’ soundtrack album was the year 's tenth highest-selling album in the United States with more than 520,000 copies sold in 2017 .","In the United States , it has sold 573,000 copies by April 2017 , and was the year 's tenth highest selling album in the country with 522,000 sold throughout 2017.The lead single , `` Ca n't Stop the Feeling ! ''"
"All more than 15 2020 UCI World Tour races scheduled to take place up to May , except two , were called off due to the COVID-19 pandemic .","Of the following eleven 2020 UCI World Tour races scheduled to take place up to 11 April , only Paris–Nice , which also had the final day of racing removed , took place at the intended time ."
"By 3 April , there were countries and territories in Africa with 0 cases of coronavirus .","As of 4 April , only the following countries and territories have not reported any cases of SARS-CoV-2 infections : Africa"
Boats are forbidden from landing on Herm from outside the Bailiwick until the end of April due to coronavirus .,"Subsequently on 19 March individual operators cancelled all cruise trips until the start of may , including nine scheduled to visit the island in April and three in May . On 21 March it was announced that in following directives from the States of Guernsey , no boats are permitted to land on Herm from outside the Bailiwick until at least the end of April ."
"On October 22 , 1969 , during a World Cup qualifier match , Jimmy Johnstone scored one goal with his team Scotland , losing 3-2 to Germany .","Johnstone continued to play only sporadically for Scotland , and did n't score his next international goal until 22 October 1969 in a World Cup qualifier away against West Germany , Scotland losing 3-2.In May 1974 , during the build-up to the 1974 FIFA World Cup and days before a British Home Championship match against England at Hampden , Johnstone and his other Scotland team-mates took part in a drinking session at their hotel in Largs , Ayrshire ."
The film has earned more than $ 142 million in theaters and home video .,"Filmed for only $ 2.8 million , it is one of the most profitable movies in history , garnering an estimated gross of more than $ 142 million in the form of theatrical rentals and home video , not including merchandising ."
