claim,truth
"After 1st April , more than 125 of the more than 150 COVID-19 deaths were from patients aged 70 and above .","As of April 1 , 103 of 122 ( 84 % ) COVID-19 deaths were in patients aged 70 or older , and no one younger than 50 was known to have died from the disease in Massachusetts ."
"Armenia had 7 coronavirus-related deaths by April 3 , 2020 .","The disease , coronavirus disease 2019 ( ) , caused by a novel virus known as severe acute respiratory syndrome coronavirus 2 ( ) , has spread to all of the regions ( marz ) of Armenia , except for Gegharkunik , and has caused 7 deaths as of 3 April ."
"During the 2020 coronavirus pandemic in the US , a study proving the effectivity hydroxychloroquine to treat this virus was done in a non-randomized group and published on YouTube instead of a peer-reviewed journal .","This is in violation of federal law , since none have been determined to be safe and effective by the FDA.In early March President Trump directed the FDA to accelerate the testing and possible use of certain medications to discover if they would help treat patients who already have COVID-19. '' U.S . Moves to Expand Array of Drug Therapies Deployed Against Coronavirus '' , The Wall Street Journal , March 19 , 2020 Among potential drugs are chloroquine and hydroxychloroquine , which have been successfully used to treat malaria ; however , they have never undergone properly designed clinical trials for the treatment of the coronavirus , and the one study reporting positive results was in a small , non-randomized group of patients and was published on YouTube rather than a peer-reviewed journal ."
The New York California Governor Andrew Cuomo said Hydroxychloroquine could prevent COVID-19 .,"Despair of industries by José Yuste , Dinero en Imagen , 25 Mar 2020Panic buying in mid-March is causing shortages in Mexico of Hydroxychloroquine and azithromycin , which New York California Governor Andrew Cuomo with no backing from the scientific or medical communities , says is helpful in preventing Covid-19 ."
"China had more than 12,030 coronavirus cases as of before February 2 , 2020 .","As of 1 February 2020 , approximately 12,038 cases have been confirmed , including in every province-level division of China ."
"There were more than 396,000 coronavirus cases and over 104,000 recoveries by March 24 .","As of 24 March , more than 395,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 103,000 recoveries ."
"As of March , there have been a total of over 123,500 COVID-19 recoveries .","As of 27 March , more than 532,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 24,000 deaths and more than 124,000 recoveries ."
"On January 24 , 2020 , Prof. Charmaine Gauci predicted Malta would have low exposure to coronavirus .","On 24 January , the Superintendent of Public Health predicted low exposure due to no direct flights between Malta and China ."
The state of Assam has confirmed a total of 32 positive cases of Covid-19 including 1 death as of 13 April 2020 .,The state has confirmed a total of 32 positive cases of Covid-19 including 1 death as of 14 April 2020.The cause of Covid-19 outbreak in Assam is due to the people who attended the religious congregation of Tablighi Jamaat at Nizamuddin Markaz and did not reported the authorities after their return to Assam .
Nvidia took a write-down of less than $ 400 million on its first-quarter revenue .,"In July 2008 , Nvidia took a write-down of approximately $ 200 million on its first-quarter revenue , after reporting that certain mobile chipsets and GPUs produced by the company had `` abnormal failure rates '' due to manufacturing defects ."
"There were less than 70 positive cases of coronavirus in Delaware as of March 22 , 2020 , due to the pandemic .","As of March 22 , 2020 , the Delaware Department of Health and Social Services has confirmed 68 positive cases of the virus in Delaware , with all three counties having at least 5 cases."
"As of March 20th , there were less than 87,500 recoveries in over 170 countries .","As of 20 March , more than 245,000 cases of COVID-19 have been reported in over 170 countries and territories , resulting in more than 10,000 deaths and 87,000 recoveries ."
"Before February 1 , 2019 , See You Again reported 3.9 billion views on YouTube .","As of January 29 , 2019 , the video has received over 3.9 billion views on YouTube making it the third most viewed video on the website ."
"Dimitar Berbatov signed with an Indian club for more than £500,000 .","After a year without a club , Berbatov signed with Indian Super League club Kerala Blasters on 23 August 2017 on a one-year deal for a salary of ₹7.5 crore ( approximately £900,000 ) ."
4Kids Taiwan had the rights to dub the episodes of Case Closed Animax could n't dub .,"Because Animax were unable to obtain further TV broadcast rights , it only dubbed 52 episodes , while the rest were dubbed only by 4Kids Taiwan ."
