claim,truth
"There were over 337,000 cases of COVID-19 by March 23 , 2020 .","As of 23 March , more than 337,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries ."
"In Taiwan , over 40,000 people had been tested for coronavirus as of April 11 , 2020 .","As of 11 April , 45,446 tests had been conducted in Taiwan with the vast majority not confirming a coronavirus diagnosis ."
Stockport County F.C finished with 12 points above Burnley despite being down to 9 men after two were dismissed .,"Stockport who finished 12 points above Burnley and had a far superior side were to suffer from some highly questionable refereeing and awful gamemanship from a couple of Burnley players , finishing with 9 men after Michael Wallace was sent off for allegedly spitting at Ted McMinn and Chris Beaumont was dismissed for no clear or apparent reason ."
"There were over 424,000 cases of COVID-19 ( disease ) before March 26 , 2020 .","As of 25 March , more than 424,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 18,900 deaths and more than 109,000 recoveries ."
"Due to the impact of the 2019-20 coronavirus pandemic on cinema , the Chinese film industry had lost over US $ 1.5 billion by March 2020 .","The Chinese film industry had lost US $ 2 billion by March 2020 , having closed all its cinemas during the Lunar New Year period that sustains the industry across Asia ."
"Before March 2019 , Never Gon na Give You Up had less than 535 million views .",It has more than 540 million views as of March 2019.
"There were more than 396,000 coronavirus cases and over 104,000 recoveries by March 24 .","As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 104,000 recoveries ."
The guns aboard the Indian frigates could fire more than 40 rounds per minute .,"The Afonso was outnumbered by the Indians , and was at a severe disadvantage since it was in a confined position that restricted its manoeuvring , and because its four 120 mm guns could fire only two rounds a minute , as compared to the 60 rounds per minute of the guns aboard the Indian frigates ."
Whitney Houston sold under 200 million records globally .,"Whitney Houston is one of pop music 's best-selling music artists of all-time , with an estimated 170-200 million records sold worldwide."
"There are less than 703,500 cases of COVID-19 worldwide .","more than 703,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 33,200 deaths ."
"From the 2001 Census , Odia , the language of Odisha is spoken by under 40 million people .","Odia ( formerly known as Oriya ) is the official and most widely spoken language , spoken by 33.2 million according to the 2001 Census ."
More than 83 % of COVID-19 deaths were in patients aged 70 or older after April 1 .,"As of April 2 , 130 of 154 ( 84 % ) COVID-19 deaths were in patients aged 70 or older , and no one younger than 50 was known to have died from the disease in Massachusetts ."
Nvidia took a write-down of more than $ 400 trillion on its first-quarter revenue .,"In July 2008 , Nvidia took a write-down of approximately $ 600 trillion on its first-quarter revenue , after reporting that certain mobile chipsets and GPUs produced by the company had `` abnormal failure rates '' due to manufacturing defects ."
The 5-Minute Crafts YouTube channel had more than 61.5 million subscribers by November 2019 .,"As of November 2019 , the channel had 61.8 million subscribers , ranking it as the fourth most-subscribed channel on the platform that is not operated by YouTube , behind T-Series , PewDiePie and Cocomelon."
"As of March , there have been a total of under 123,500 COVID-19 recoveries","As of 27 March , more than 532,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 24,000 deaths and more than 123,000 recoveries ."
