claim,truth
A rematch between The Rock and John Cena is scheduled for WrestleMania 29 .,"The match , and its year long buildup , was broadcast on NBC and later sent to DVD and Blu-Ray , collected under the title of The Rock vs John Cena : Once in a Lifetime. The match was later featured in WWE Best PPV Matches of 2012 as the Most Anticipated WrestleMania Match of All Time. A rematch is scheduled for WrestleMania 29."
"Less than 684,000 cases of COVID-19 have been confirmed .","more than 683,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 32,100 deaths ."
"According to the 2012 census , Mecklenburg County has a population of more than 950 thousand people .","The population of Mecklenburg County is 969,031 people ( as of the 2012 census estimate ) , making it both the most populated and densely populated county in North Carolina ."
"Before the upgrade , Wankhede Stadium 's capacity was over 70,000 .","Before the upgrade , the capacity was approximately 90,000. The Wankhede stadium has been host to numerous high profile cricket matches in the past , most notable being the 2011 Cricket World Cup Final , in which India defeated Sri Lanka by 6 wickets ."
The F-19 is a hypothetical advanced fighter aircraft .,"F-19 is the designation for a hypothetical American advanced fighter aircraft that has never been officially acknowledged , and has engendered much speculation that it might refer to a type of aircraft whose existence is still classified."
"There are more than 703,500 cases of COVID-19 worldwide .","more than 704,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 33,200 deaths ."
"China had more than 9,500 confirmed coronavirus cases by January 30 , 2020 .","As of 30 January 2020 , approximately 9,817 cases have been confirmed , including in every province-level division of China ."
New €100 and €200 banknotes were issued at the beginning of 2019 .,"The full design of the Europa series 50 euro note was revealed on 5 July 2016 and the new 50 note was released on 4 April 2017.New €50 banknote starts circulating todayThe new banknotes of the Europa series 100 euro banknote and 200 euro banknote will be issued at the beginning of 2019.New €50 banknote starts circulating todayOn 4 May 2016 , the European Central Bank announced that the Europa series 500 euro banknote would not be released , due to fears of `` facilitating the criminal activity '' ."
The state of Assam has confirmed a total of 29 positive cases of Covid-19 including 1 death after 11 April 2020 .,The state has confirmed a total of 29 positive cases of Covid-19 including 1 death as of 12 April 2020.The cause of Covid-19 outbreak in Assam is due to the people who attended the religious congregation of Tablighi Jamaat at Nizamuddin Markaz and did not reported the authorities after their return to Assam .
Nadine Coyle started recording songs for her sophomore studio album sometime in 2014 .,"Coyle , in August , also revealed she has been in the studio recording new songs for her forthcoming second studio album , most likely due in the middle of 2015.On 16 September 2014 , Coyle announced that she began working on her sophomore studio album with longtime collaborator Brian Higgins ."
"There were more than 336,000 COVID-19 cases worldwide by March 23 , 2020 .","As of 22 March , more than 335,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries ."
"Before May 2017 , Baby by Justin Bieber had over 1.59 billion views on YouTube .","On March 5 , 2014 , `` Baby '' became the second video , after `` Gangnam Style '' , to receive 1 billion views on YouTube , and is the nineteenth most viewed video on the site , with over 1.59 billion views as of April 2017 ."
"The urban subdivision of Reading had an estimated population of less than 250,000 according to the 2001 census .","In the 2001 census , the urban sub-division of Reading had an estimated population of 232,662 , making it the largest town in the UK without city status ."
"Chappie received more than 3 out of 5 stars from Time Out London , and Tom Huddleston stated that the film was odd but entertaining .",Tom Huddleston of Time Out London rated it four out of five stars and wrote that `` this hugely entertaining oddity could never be mistaken for the work of any other filmmaker '' .
The Youtube channel Epic Rap Battles of History has less than 13.3 million subscribers .,"As of May 2016 , it is the 20th most subscribed channel on YouTube with over 13.2 million subscribers and over 3 billion total video views ."
