claim,truth
"On March 12 , 2020 , the Government of Ontario announced publicly funded schools would be closed for an additional two weeks due to the pandemic .","On March 12 , 2020 , the Government of Ontario announced publicly funded schools would be closed for an additional two weeks after March Break until April 5.On March 15 , 2020 , The Ontario Superior Court of Justice announced a suspension of most criminal matters , including trials until the end of May ."
"More than 65,213 cases have been confirmed after February 13 , 2020 .","As of 13 February 2020 , 65,213 cases have been confirmed ( 10,627 serious ) , including in every province-level division of China , but official figures may not have counted a large number of people who have yet to be detected ."
Andrew Whitworth was snubbed by NFL for its Top 100 Players of 2015 .,"Due to his success , many pundits and experts have claimed that Whitworth was snubbed out of a second Pro Bowl berth , however , he was named second-team AP NFL All-Pro. He was also snubbed for NFL Top 100 Players of 2015 , but was voted no ."
"There had been more than 375,000 confirmed cases of COVID-19 worldwide by March 24 .","As of 23 March , more than 374,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 16,400 deaths and over 101,000 recoveries ."
"There is a 1 in 20 chance that a near-Earth object might impact Earth on September 5 , 2095 .","As an example , has a 1 in 20 chance of impacting Earth on 5 September 2095.Impact Risk Summary : 2010 RF12 Every 2,000–3,000 years , objects produce explosions of 10 megatons comparable to the one observed at Tunguska in 1908 ."
"Before 1 December 2018 , See You Again reported 3.8 billion views on YouTube .","As of November 29 , 2018 , the video has received over 3.8 billion views on YouTube making it the third most viewed video on the website ."
"Before May 1 , the Mexican government announced to have entered Phase 3 of its coronavirus contingency plan .","In cases of suspected or confirmed cases of coronavirus , the bodies can not be exhumed for at least 180 days after the date of death . **The government announced that Mexico had entered Phase 3 of its contingency plan."
Maxthon has been downloaded less than 450 million times worldwide .,"Maxthon is reported to be the second most popular browser in China , and it has been downloaded more than 400 million times worldwide."
Nadine Coyle started recording songs for her sophomore studio album sometime in 2014 .,"Coyle , in August , also revealed she has been in the studio recording new songs for her forthcoming second studio album , most likely due in the middle of 2015.On 16 September 2014 , Coyle announced that she began working with longtime collaborator Brian Higgins ."
"Apart from the confirmed coronavirus cases in 41 U.S. states , four other states had presumptive cases during the pandemic .","Confirmed cases had appeared in 41 out of the 50 U.S. states , and Washington , D.C. Four other states have presumptive cases and only 7 states have no cases yet ( Alabama , Alaska , Idaho , Maine , Mississippi , West Virginia and Wyoming ) .On January 31 , 2020 , the U.S. government began to require Americans returning home after traveling in China 's Hubei Province to submit to a 14-day quarantine ."
The song Ca n't Get You Out of My Head had worldwide sales of more than eight million .,"As of 2013 , the song is Minogue 's highest selling single and one of the best-selling singles of all time , with worldwide sales exceeding eight million ."
"Under 50 copies of the series Ahiru no Sora had been released in Japan before March 17 , 2018 .","The first volume was released on May 17 , 2004 and as of November 2018 , fifty volumes have been released in Japan by Kodansha ."
"By 3 April , there were countries and territories in Africa with 0 cases of coronavirus .","As of 3 April , only the following countries and territories have not reported any cases of SARS-CoV-2 infections : Africa"
"There had been more than 9,250 deaths related to COVID-19 in more than 150 countries by March 19 , 2020 .","As of 19 March , more than 227,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 9,300 deaths and 85,000 recoveries ."
"There were more than 70 positive cases of coronavirus in Delaware as of March 22 , 2020 , due to the pandemic .","As of March 22 , 2020 , the Delaware Department of Health and Social Services has confirmed 87 positive cases of the virus in Delaware , with all three counties having at least 5 cases."
