claim,truth
"In 2015 , the film Jurassic World generated $ 1.6 billion in total revenue at the box office .","After a record-breaking opening weekend during which it grossed $ 500 million worldwide , Jurassic World generated a total of $ 1.6 billion in box office revenue , standing as the fourth highest-grossing film of all time without inflation adjustment , as well as the second highest-grossing film of 2015 and the highest-grossing film in the franchise ."
Ansah ranked second in NFL in sacks with less than 14 points in 2015 .,"During the 2015 season , Ansah is currently ranked second in the NFL in sacks with 13.5 and trails only Oakland 's Khalil Mack by 1.5 for the league lead ."
Brooks has sold more than 170 million records worldwide .,"His most recent album , Gunslinger , was released in November 2016.Brooks is also one of the world 's best-selling music artists , having sold more than 170 million records ."
"China has less than 24,575 cases of coronavirus as of February 5 , 2020 .","As of 5 February 2020 , approximately 24,569 cases have been confirmed , including in every province-level division of China ."
"After April 2017 , Baby by Justin Bieber had over 1.60 billion views on YouTube .","On March 5 , 2014 , `` Baby '' became the second video , after `` Gangnam Style '' , to receive 1 billion views on YouTube , and is the nineteenth most viewed video on the site , with over 1.60 billion views as of May 2017 ."
The motion picture Traffic was released in 2001 and features a fight between the Juárez Cartel and the Tijuana Cartel .,"Some US sources estimate the cartel 's income reached as high as $ 200 million a week under former boss Amado Carrillo Fuentes , who mysteriously died in July 1997.A look inside a giant drug cartel , Christian Science Monitor , 1999 The Juárez Cartel was featured battling the rival Tijuana Cartel in the 2001 motion picture Traffic ."
"China had less than 9,940 coronavirus cases by January 31 , 2020 .","As of 31 January 2020 , approximately 9,934 cases have been confirmed , including in every province-level division of China ."
"There were fewer than 396,000 coronavirus cases and under 104,000 recoveries by March 24 .","As of 24 March , more than 395,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 103,000 recoveries ."
The first cases of the coronavirus pandemic in Lithuania were recorded in March 2020 .,"This article documents the impacts of the 2019–20 coronavirus pandemic in Lithuania , and may not include all the contemporary major responses and measures ."
"The Founder hints that the McDonald brothers should have received under $ 500 million annually , on royalties .","An epilogue reveals that the McDonald brothers were never paid their royalties , which could have been in the area of $ 700 million a year."
"There were over 337,000 cases of COVID-19 by March 23 , 2020 .","As of 22 March , more than 335,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 14,600 deaths and 97,000 recoveries ."
"Pixar denied that it was considering any sequels to Inside Out according to a 2016 interview by president Jim Morris , mainly due to the fact that they are concentrating on new film ideas .","In a July 2016 interview , Pixar president Jim Morris said that while demand for a sequel is high , the company has committed its resources to several original movie concepts from June 7 , 2019 , onward , and that no sequels to any of Pixar 's other films , including Inside Out , were being contemplated at this time."
"Less than 317,000 cases of COVID-19 have been confirmed .","As of 22 March , more than 315,000 cases of COVID-19 have been reported in over 188 countries and territories , resulting in more than 13,500 deaths and 95,000 recoveries ."
"There are less than 359,000 cases of COVID-19 as of 23 March .","As of 23 March , more than 358,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in more than 15,400 deaths and over 100,000 recoveries ."
The use of the name Delmarva occurred on 10 February 1877 in the Middleton Transcript newspaper in Middleton .,"While Delmar was founded and named in 1859 , the earliest uses of the name Delmarva occurred several decades later ( for example on February 10 , 1877 in the Middleton Transcript newspaper in Middleton , DelawareMiddleton Transcript February 10 , 1877 ) and appear to have been commercial ; for example , the Delmarva Heat , Light , and Refrigerating Corp. of Chincoteague , Virginia , was in existence by 1913Annual Report of the Secretary of the Commonwealth to the Governor and General Assembly of Virginia for the Year Ending September 30 , 1914 ( Richmond , Va. , 1915 ) , p. 267.—but general use of the term did not occur until the 1920s ."
