claim,truth
"Within 14 plays , the Dolphins had reached the 65 yards line on the Dolphins .","The Dolphins drove 65 yards in 14 plays to the Patriots 25 , but on 4th-and-18 , Daniel Thomas could only gain 10 yards and the Dolphins turned the ball over on downs ."
"The severe acute respiratory syndrome had less than 8,300 cases and less than 800 deaths between November 2002 and July 2003 .","Between November 2002 and July 2003 , an outbreak of SARS in southern China caused an eventual 8,098 cases , resulting in 774 deaths reported in 37 countries , with the majority of cases in China ( 9.6 % fatality rate ) according to the World Health Organization ( WHO ) ."
"The urban subdivision of Reading had an estimated population of more than 250,000 according to the 2011 census .","In the 2011 census , the urban area around Reading had an estimated population of 318,014 , making it one of the largest towns in the UK without city status ."
"During one game of their 2016 season , the American football team The New England Patriots drove 72 yards after forcing the Browns to punt .","After forcing the Browns to punt , the Patriots drove 72 yards , all the way to the Browns 1-yard line , but Blount could n't get in on 3rd or 4th down , and the Patriots turned the ball over on downs ."
"Over 650,000 COVID-19 infections and more than 29,950 deaths have been recorded in more than 150 countries .","more than 645,000 cases of COVID-19 have been reported in over 190 countries and territories , resulting in approximately 29,900 deaths ."
"After July 31 , 2019 , See You Again reported 4.1 billion views on YouTube .","As of August 1 , 2019 , the video has received over 4.1 billion views on YouTube making it the third most viewed video on the website ."
"Malaysia had more than 4,000 confirmed coronavirus cases including more than 65 deaths by April 9 , 2020 .","Within a few weeks , Malaysia recorded the largest cumulative number of confirmed COVID-19 infections in Southeast Asia ; as of 9 April 2020 , there are 4,228 confirmed cases in the country , with 67 deaths reported ."
"There were less than 390,000 COVID-19 cases worldwide by March 24 , 2020 .","As of 24 March , more than 386,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 16,700 deaths and more than 102,000 recoveries ."
"Brazil had reported less than 50,000 coronavirus cases by April 23 , 2020 , including less than 3,500 deaths .","As of 23 April 2020 , 49,492 cases have been confirmed in the country , causing 3,313 deaths ."
"There were more than 225,500 COVID-19 cases in more than 150 countries by March 19 , 2020 .","As of 19 March , more than 226,000 cases of COVID-19 have been reported in over 150 countries and territories , resulting in more than 9,200 deaths and 85,000 recoveries ."
"Amongst the 73 people evacuated by Ukraine from Wuhan , less than 6 of them were from the Dominican Republic .","The original number of Nepalese to be evacuated was 185 , however , only 175 were evacuated , as 4 of them decided to stay back and 6 were barred to board the flight due to medical reasons . *On 19 February , Ukraine evacuated 73 people from Wuhan , which included 48 Ukrainian citizens and 29 foreign nationals ( 8 nationals from Argentina , 5 from Dominican Republic , 5 from Ecuador , 4 from Salvador , 2 from Kazakhstan , 2 from Costa Rica , and one each from Israel , Montenegro and Panama ) ."
"Beginning February 6 , 2020 , fewer than 28,282 coronavirus cases were reported in China .","As of 6 February 2020 , 28,281 cases have been confirmed , including in every province-level division of China ."
Jong-hoon left F.T . Island in 2019 due to his involvement in the Burning Sun scandal .,"On March 14 , 2019 , Jong-hoon left the band and retired from the entertainment industry after being involved in the Burning Sun scandal , where he was part of a group chat in which some members shared videos of sexual activities recorded without the consent of the other party. ? oid=213 & aid=0001093008 Hong-gi began his mandatory military service on September 30 , 2019 , becoming the first F.T . Island member to enlist ."
Italy has received the aid of three medical teams and a donation of 40 tons of medical supplies from China .,"However , some reports claimed that China had sold back to Italy the same PPE Italy had donated to China , but thus far China has already sent 3 medical teams and donated over 40 tons of medical supplies to Italy ."
"From the 2016 Census , Odia , the language of Odisha is spoken by over 40 million people .","Odia ( formerly known as Oriya ) is the official and most widely spoken language , spoken by 60 million according to the 2016 Census ."
